iter	Passed	Remaining
137	1423	8892
138	1433	8878
139	1442	8860
140	1452	8849
141	1462	8837
142	1471	8820
143	1481	8805
144	1490	8789
145	1500	8778
146	1510	8763
147	1519	8750
148	1529	8737
149	1539	8723
150	1548	8709
151	1557	8691
152	1567	8679
153	1577	8664
154	1586	8649
155	1596	8635
156	1605	8621
157	1614	8606
158	1624	8591
159	1634	8579
160	1643	8565
161	1653	8551
162	1662	8536
163	1672	8525
164	1682	8514
165	1691	8499
166	1701	8486
167	1711	8477
168	1721	8463
169	1731	8451
170	1740	8439
171	1750	8428
172	1760	8416
173	1769	8402
174	1779	8388
175	1789	8376
176	1798	8362
177	1807	8349
178	1817	8338
179	1828	8328
180	1838	8320
181	1850	8317
182	1860	8307
183	1871	8298
184	1881	8288
185	1892	8282
186	1903	8276
187	1914	8270
188	1925	8264
189	1937	8258
190	1947	8250
191	1960	8250
192	1973	8252
193	1988	8260
194	1999	8253
195	2014	8263
196	2031	8279
197	2045	8283
198	2056	8278
199	2067	8268
200	2079	8264
201	2090	8256
202	2099	8244
203	2109	8229
204	2119	8217
205	2128	8205
206	2137	8190
207	2148	8179
208	2157	8166
209	2167	8154
210	2178	8146
211	2188	8132
212	2197	8118
213	2207	8106
214	2216	8094
215	2227	8083
216	2236	8071
217	2247	8061
218	2257	8049
219	2267	8040
220	2277	8029
221	2292	8032
222	2310	8051
223	2326	8058
224	2338	8054
225	2349	8045
226	2360	8037
227	2371	8029
228	2382	8022
229	2393	8012
230	2408	8016
231	2422	8017
232	2433	8012
233	2444	8003
234	2456	7995
235	2468	7992
236	2479	7981
237	2489	7972
238	2500	7961
239	2511	7952
240	2521	7941
241	2532	7930
242	2541	7918
243	2553	7910
244	2563	7899
245	2573	7888
246	2584	7878
247	2595	7868
248	2607	7864
249	2626	7878
250	2641	7883
251	2656	7886
252	2673	7893
253	2690	7902
254	2709	7916
255	2727	7927
256	2747	7942
257	2764	7950
258	2782	7960
259	2800	7969
260	2818	7981
261	2831	7975
262	2845	7973
263	2859	7972
264	2874	7971
265	2887	7967
266	2899	7961
267	2912	7955
268	2927	7955
269	2942	7954
270	2957	7956
271	2972	7955
272	2986	7952
273	3002	7954
274	3016	7951
275	3029	7945
276	3044	7945
277	3059	7946
278	3076	7950
279	3093	7954
280	3112	7962
281	3126	7960
282	3143	7963
283	3158	7963
284	3175	7966
285	3190	7964
286	3206	7965
287	3222	7966
288	3239	7968
289	3255	7971
290	3272	7972
291	3288	7973
292	3302	7969
293	3316	7965
294	3330	7958
295	3345	7955
296	3360	7953
297	3376	7953
298	3395	7959
299	3409	7955
300	3427	7959
301	3443	7959
302	3458	7956
303	3474	7955
304	3490	7954
305	3508	7956
306	3523	7954
307	3539	7953
308	3555	7950
309	3570	7947
310	3586	7944
311	3601	7942
312	3616	7938
313	3630	7932
314	3649	7935
315	3669	7942
316	3682	7934
317	3692	7919
318	3702	7905
319	3712	7889
320	3722	7873
321	3731	7857
322	3742	7844
323	3752	7829
324	3762	7814
325	3797	7850
326	3819	7860
327	3831	7850
328	3842	7836
329	3853	7823
330	3862	7807
331	3873	7792
332	3882	7775
333	3891	7758
334	3901	7744
335	3910	7728
336	3920	7713
337	3930	7698
338	3940	7683
339	3950	7669
340	3960	7653
341	3971	7641
342	3981	7626
343	3990	7610
344	4000	7594
345	4009	7578
346	4018	7562
347	4028	7547
348	4038	7533
349	4047	7516
350	4057	7502
351	4067	7487
352	4078	7475
353	4089	7462
354	4099	7448
355	4109	7434
356	4123	7426
357	4139	7422
358	4153	7416
359	4170	7413
360	4186	7411
361	4201	7405
362	4216	7399
363	4228	7389
364	4242	7380
365	4255	7372
366	4269	7364
367	4283	7356
368	4299	7351
369	4312	7343
370	4323	7329
371	4336	7321
372	4350	7312
373	4363	7303
374	4374	7291
375	4386	7279
376	4397	7266
377	4407	7252
378	4418	7239
379	4429	7227
380	4440	7213
381	4452	7203
382	4465	7193
383	4478	7184
384	4489	7171
385	4500	7158
386	4513	7148
387	4526	7139
388	4540	7131
389	4552	7120
390	4564	7108
391	4576	7097
392	4587	7085
393	4598	7072
394	4608	7059
395	4619	7045
396	4629	7031
397	4638	7016
398	4647	7000
399	4659	6988
400	4669	6975
401	4679	6960
402	4688	6945
403	4698	6930
404	4708	6916
405	4718	6902
406	4727	6887
407	4736	6873
408	4746	6858
409	4756	6844
410	4767	6832
411	4778	6819
412	4788	6805
413	4798	6792
414	4809	6779
415	4820	6766
416	4830	6753
417	4841	6740
418	4851	6726
419	4861	6714
420	4873	6702
421	4882	6687
422	4893	6674
423	4904	6662
424	4914	6649
425	4927	6639
426	4938	6626
427	4949	6614
428	4959	6601
429	4971	6590
430	4981	6576
431	4992	6564
432	5003	6551
433	5013	6538
434	5025	6527
435	5036	6515
436	5050	6507
437	5066	6501
438	5078	6489
439	5089	6478
440	5100	6464
441	5111	6453
442	5121	6439
443	5131	6425
444	5140	6411
445	5150	6397
446	5161	6385
447	5172	6372
448	5182	6360
449	5193	6347
450	5204	6335
451	5214	6321
452	5224	6309
453	5235	6296
454	5247	6285
455	5260	6275
456	5270	6262
457	5280	6249
458	5292	6237
459	5303	6225
460	5315	6215
461	5326	6202
462	5337	6190
463	5348	6178
464	5361	6168
465	5372	6156
466	5383	6144
467	5396	6134
468	5407	6122
469	5416	6108
470	5425	6094
471	5435	6080
472	5445	6067
473	5454	6053
474	5464	6039
475	5473	6025
476	5483	6012
477	5493	5999
478	5503	5985
479	5512	5971
480	5521	5957
481	5531	5944
482	5541	5931
483	5550	5917
484	5559	5903
485	5569	5890
486	5578	5876
487	5588	5863
488	5597	5849
489	5607	5836
490	5617	5823
491	5626	5809
492	5637	5797
493	5646	5783
494	5655	5770
495	5665	5756
496	5675	5743
497	5685	5730
498	5694	5717
499	5704	5704
500	5714	5692
501	5724	5679
502	5734	5665
503	5743	5652
504	5753	5639
505	5763	5626
506	5774	5615
507	5783	5601
508	5793	5588
509	5802	5574
510	5811	5561
511	5821	5548
512	5831	5536
513	5841	5522
514	5851	5510
515	5860	5496
516	5869	5483
517	5879	5470
518	5889	5457
519	5898	5445
520	5908	5431
521	5919	5420
522	5929	5407
523	5938	5394
524	5948	5381
525	5958	5369
526	5968	5356
527	5978	5344
528	5987	5330
529	5996	5317
530	6006	5305
531	6017	5293
532	6028	5281
533	6038	5269
534	6056	5263
535	6067	5252
536	6078	5240
537	6087	5227
538	6097	5215
539	6107	5202
540	6117	5190
541	6127	5177
542	6136	5164
543	6148	5154
544	6158	5141
545	6168	5129
546	6179	5117
547	6189	5104
548	6199	5092
549	6208	5079
550	6218	5067
551	6232	5058
552	6247	5049
553	6268	5046
554	6286	5040
555	6307	5036
556	6321	5027
557	6331	5015
558	6341	5002
559	6351	4990
560	6361	4977
561	6370	4964
562	6379	4951
563	6388	4938
564	6398	4926
565	6408	4913
566	6417	4901
567	6428	4889
568	6437	4876
569	6451	4866
570	6461	4854
571	6472	4842
572	6482	4830
573	6492	4818
574	6503	4806
575	6514	4795
576	6525	4783
577	6535	4771
578	6546	4759
579	6560	4750
580	6571	4739
581	6582	4727
582	6595	4717
583	6609	4708
584	6620	4696
585	6631	4684
586	6642	4673
587	6654	4662
588	6666	4651
589	6677	4640
590	6688	4628
591	6699	4617
592	6709	4605
593	6720	4593
594	6732	4582
595	6743	4571
596	6754	4559
597	6765	4547
598	6775	4535
599	6787	4524
600	6797	4513
601	6808	4501
602	6819	4489
603	6832	4479
604	6843	4468
605	6856	4457
606	6867	4446
607	6878	4434
608	6889	4423
609	6902	4412
610	6912	4400
611	6922	4388
612	6933	4377
613	6943	4365
614	6956	4354
615	6966	4342
616	6976	4330
617	6987	4319
618	7002	4310
619	7013	4298
620	7024	4287
621	7035	4275
622	7047	4264
623	7063	4255
624	7075	4245
625	7088	4235
626	7099	4223
627	7109	4211
628	7119	4199
629	7129	4187
630	7138	4174
631	7148	4162
632	7159	4150
633	7168	4138
634	7179	4126
635	7188	4114
636	7200	4103
637	7212	4092
638	7222	4080
639	7238	4071
640	7252	4062
641	7266	4051
642	7280	4042
643	7294	4032
644	7308	4022
645	7339	4022
646	7361	4016
647	7387	4012
648	7410	4008
649	7430	4001
650	7445	3991
651	7461	3982
652	7475	3972
653	7488	3962
654	7501	3951
655	7515	3940
656	7527	3929
657	7540	3919
658	7553	3908
659	7565	3897
660	7578	3886
661	7591	3876
662	7604	3865
663	7617	3854
664	7628	3843
665	7641	3832
666	7653	3820
667	7664	3809
668	7676	3798
669	7688	3786
670	7699	3775
671	7710	3763
672	7723	3752
673	7737	3742
674	7749	3731
675	7767	3723
676	7785	3714
677	7796	3702
678	7808	3691
679	7823	3681
680	7835	3670
681	7845	3658
682	7857	3646
683	7868	3635
684	7879	3623
685	7889	3611
686	7898	3598
687	7908	3586
688	7918	3574
689	7927	3561
690	7937	3549
691	7946	3537
692	7956	3524
693	7966	3512
694	7976	3500
695	7985	3487
696	7994	3475
697	8004	3463
698	8013	3450
699	8023	3438
700	8033	3426
701	8043	3414
702	8054	3402
703	8064	3390
704	8075	3378
705	8088	3368
706	8098	3356
707	8109	3344
708	8119	3332
709	8130	3320
710	8141	3309
711	8152	3297
712	8162	3285
713	8173	3274
714	8183	3262
715	8194	3250
716	8205	3238
717	8216	3227
718	8227	3215
719	8240	3204
720	8252	3193
721	8263	3181
722	8275	3170
723	8287	3159
724	8297	3147
725	8307	3135
726	8318	3123
727	8329	3111
728	8341	3100
729	8352	3089
730	8363	3077
731	8379	3067
732	8391	3056
733	8403	3045
734	8413	3033
735	8424	3021
736	8434	3009
737	8445	2998
738	8455	2986
739	8466	2974
740	8478	2963
741	8489	2951
742	8500	2940
743	8513	2929
744	8525	2918
745	8537	2906
746	8549	2895
747	8561	2884
748	8572	2872
749	8584	2861
750	8597	2850
751	8607	2838
752	8621	2827
753	8634	2817
754	8647	2806
755	8657	2794
756	8670	2783
757	8683	2772
758	8696	2761
759	8707	2749
760	8722	2739
761	8735	2728
762	8748	2717
763	8760	2706
764	8772	2694
765	8786	2683
766	8797	2672
767	8808	2660
768	8828	2651
769	8839	2640
770	8853	2629
771	8865	2618
772	8875	2606
773	8887	2594
774	8897	2583
775	8906	2571
776	8915	2558
777	8925	2546
778	8935	2535
779	8945	2523
780	8954	2510
781	8963	2498
782	8974	2487
783	8984	2475
784	8993	2463
785	9004	2451
786	9015	2439
787	9025	2428
788	9036	2416
789	9046	2404
790	9056	2392
791	9067	2381
792	9080	2370
793	9090	2358
794	9101	2347
795	9113	2335
796	9123	2323
797	9134	2312
798	9145	2300
799	9155	2288
800	9167	2277
801	9178	2265
802	9188	2254
803	9199	2242
804	9210	2231
805	9221	2219
806	9233	2208
807	9248	2197
808	9262	2186
809	9280	2176
810	9290	2165
811	9302	2153
812	9314	2142
813	9328	2131
814	9338	2119
815	9350	2108
816	9362	2097
817	9375	2085
818	9386	2074
819	9399	2063
820	9413	2052
821	9425	2041
822	9435	2029
823	9448	2018
824	9459	2006
825	9469	1994
826	9480	1983
827	9490	1971
828	9501	1959
829	9511	1948
830	9521	1936
831	9532	1924
832	9542	1913
833	9553	1901
834	9563	1889
835	9572	1877
836	9584	1866
837	9594	1854
838	9605	1843
839	9616	1831
840	9631	1820
841	9643	1809
842	9654	1798
843	9666	1786
844	9681	1775
845	9695	1764
846	9709	1753
847	9720	1742
848	9733	1731
849	9746	1719
850	9759	1708
851	9770	1697
852	9783	1685
853	9795	1674
854	9809	1663
855	9823	1652
856	9834	1640
857	9846	1629
858	9857	1618
859	9868	1606
860	9880	1595
861	9891	1583
862	9901	1571
863	9913	1560
864	9924	1548
865	9934	1537
866	9945	1525
867	9955	1513
868	9967	1502
869	9980	1491
870	9990	1479
871	10001	1468
872	10012	1456
873	10023	1445
874	10036	1433
875	10046	1422
876	10057	1410
877	10068	1398
878	10078	1387
879	10091	1376
880	10102	1364
881	10114	1353
882	10125	1341
883	10144	1331
884	10156	1319
885	10167	1308
886	10179	1296
887	10191	1285
888	10201	1273
889	10215	1262
890	10226	1251
891	10237	1239
892	10248	1227
893	10258	1216
894	10270	1204
895	10280	1193
896	10291	1181
897	10300	1170
898	10311	1158
899	10321	1146
900	10331	1135
901	10341	1123
902	10350	1111
903	10360	1100
904	10369	1088
905	10379	1076
906	10389	1065
907	10399	1053
908	10409	1042
909	10419	1030
910	10429	1018
911	10439	1007
912	10449	995
913	10458	984
914	10468	972
915	10478	960
916	10487	949
917	10497	937
918	10507	926
919	10516	914
920	10526	902
921	10538	891
922	10548	879
923	10558	868
924	10568	856
925	10577	845
926	10587	833
927	10596	822
928	10607	810
929	10617	799
930	10628	787
931	10638	776
932	10648	764
933	10660	753
934	10669	741
935	10680	730
936	10690	718
937	10701	707
938	10711	695
939	10723	684
940	10733	672
941	10745	661
942	10759	650
943	10770	638
944	10783	627
945	10794	616
946	10804	604
947	10818	593
948	10829	581
949	10839	570
950	10849	559
951	10859	547
952	10868	536
953	10878	524
954	10887	513
955	10896	501
956	10906	490
957	10916	478
958	10926	467
959	10935	455
960	10946	444
961	10956	432
962	10966	421
963	10975	409
964	10985	398
965	10995	387
966	11005	375
967	11015	364
968	11027	352
969	11037	341
970	11049	330
971	11060	318
972	11070	307
973	11080	295
974	11090	284
975	11100	272
976	11110	261
977	11120	250
978	11130	238
979	11147	227
980	11160	216
981	11173	204
982	11186	193
983	11196	182
984	11209	170
985	11220	159
986	11231	147
987	11241	136
988	11252	125
989	11263	113
990	11275	102
991	11288	91
992	11299	79
993	11310	68
994	11322	56
995	11333	45
996	11344	34
997	11355	22
998	11364	11
999	11374	0
